t_code,sovereign_id,ink,dimensions,surface_name,series_name,curatorial_hook,neon_reading,concept_tags,emotional_register,color_palette
T_072,666072,MB1; MB2; MB3,70x180cm,Tan Xi Special Pure,,,,,,
T_073,666073,MB1; MB2; MB3,70x140cm,Jing Xian Processed,,,,,,
T_074,666074,MB1; MB2; MB3,70x140cm,Jing Xian Processed,,,,,,
T_075,666075,MB1; MB2; MB3,70x140cm,Jing Xian Processed,,,,,,
T_076,666076,MB1; MB2; MB3,70x180cm,Tan Xi Special Pure,,,,,,
T_077,666077,MB1; MB2; MB3,70x180cm,Tan Xi Special Pure,,,,,,
T_078,666078,MB1; MB2; MB3,70x180cm,Tan Xi Special Pure,,,,,,
T_079,666079,MB1; MB2; MB3,70x140cm,Red Star Dan Xuan,,,,,,
T_080,666080,MB1; MB2; MB3,70x140cm,Jing Xian Processed,,,,,,
T_081,666081,MB1; MB2; MB3,70x140cm,Jing Xian Processed,,,,,,
T_082,666082,MB1; MB2; MB3,70x140cm,Red Star Dan Xuan,,,,,,
T_083,666083,MB1; MB2; MB3,70x140cm,Water-Damaged Lot,,,,,,
T_084,666084,MB1; MB2; MB3,70x140cm,Water-Damaged Lot,,,,,,
T_085,666085,MB1; MB2; MB3,70x140cm,Water-Damaged Lot,,,,,,
T_086,666086,MB1; MB2; MB3,70x140cm,Water-Damaged Lot,,,,,,
T_087,666087,MB1; MB2; MB3,70x140cm,Water-Damaged Lot,,,,,,
T_088,666088,MB1; MB2; MB3,70x140cm,Water-Damaged Lot,,,,,,
T_089,666089,MB1; MB2; MB3,70x140cm,Water-Damaged Lot,,,,,,
T_090,666090,MB1; MB2; MB3,70x140cm,Red Star Dan Xuan,,,,,,
T_091,666091,MB1; MB2; MB3,70x140cm,Red Star Dan Xuan,,,,,,
T_092,666092,MB1; MB2; MB3,70x140cm,Water-Damaged Lot,,,,,,
T_093,666093,MB1; MB2; MB3,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_094,666094,MB1; MB2; MB3,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_095,666095,MB1; MB2; MB3,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_096,666096,MB1; MB2; MB3,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_097,666097,MB1; MB2; MB3,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_098,666098,MB1; MB2; MB3,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_099,666099,MB1; MB2; MB3,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_100,666100,MB1; MB2; MB3,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_101,666101,MB1; MB2; MB3,70x180cm,Tan Xi Special Pure,,,,,,
T_102,666102,MB1; MB2; MB3,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_103,666103,MB1; MB2; MB3,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_104,666104,MB1; MB2; MB3,70x140cm,Multi-Session Stage,,,,,,
T_105,666105,MB1; MB2; MB3,70x140cm,Multi-Session Stage,,,,,,
T_106,666106,MB1; MB2; MB3,70x140cm,Multi-Session Stage,,,,,,
T_107,666107,MB1; MB2; MB3,70x140cm,Multi-Session Stage,,,,,,
T_108,666108,MB1; MB2; MB3,70x140cm,Multi-Session Stage,,,,,,
T_109,666109,MB1; MB2; MB3,97x180cm,Multi-Session Stage,,,,,,
T_110,666110,MB1; MB2; MB3,70x140cm,Multi-Session Stage,,,,,,
T_111,666111,MB1; MB2; MB3,50x100cm,Hongxing Fine Mulberry,,,,,,
T_112,666112,MB1; MB2; MB3,50x100cm,Hongxing Fine Mulberry,,,,,,
T_113,666113,MB1; MB2; MB3,50x100cm,Hongxing Fine Mulberry,,,,,,
T_114,666114,MB1; MB2; MB3,50x100cm,Hongxing Fine Mulberry,,,,,,
T_115,666115,MB1; MB2; MB3,50x100cm,Hongxing Fine Mulberry,,,,,,
T_116,666116,MB1; MB2; MB3,50x100cm,Hongxing Fine Mulberry,,,,,,
T_117,666117,MB1; MB2; MB3,50x100cm,Hongxing Fine Mulberry,,,,,,
T_118,666118,MB1; MB2; MB3,50x100cm,Hongxing Fine Mulberry,,,,,,
T_119,666119,MB1; MB2; MB3,50x100cm,Hongxing Fine Mulberry,,,,,,
T_120,666120,MB1; MB2; MB3,50x100cm,Hongxing Fine Mulberry,,,,,,
T_121,666121,MB1; MB2; MB3,50x100cm,Hongxing Fine Mulberry,,,,,,
T_122,666122,MB1; MB2; MB3,50x100cm,Hongxing Fine Mulberry,,,,,,
T_123,666123,MB1; MB2; MB3,50x100cm,Hongxing Fine Mulberry,,,,,,
T_124,666124,MB1; MB2; MB3,50x100cm,Hongxing Fine Mulberry,,,,,,
T_125,666125,MB1; MB2; MB3,50x100cm,Hongxing Fine Mulberry,,,,,,
T_126,666126,MB1; MB2; MB3,50x100cm,Hongxing Fine Mulberry,,,,,,
